[TAILING] Tailing last 200 lines for [sofia-bruscoli] process (change the value with --lines option)
/root/secretaria/logs/sofia-bruscoli/out.log last 200 lines:
1|sofia-br | 2026-09-19 03:29:03: [MB v4.9] 03:28:53 I [upd] al día (v4.9 code=34, mío=34)
1|sofia-br | 2026-09-19 07:30:08: [wa-send] morning-brief/Noelia Bruscoli: entregado por TELEGRAM (politica_v4_usuarios_sin_wa) a Noelia Bruscoli
1|sofia-br | 2026-09-19 07:30:08: [morning-brief/Noelia Bruscoli] ✓ enviado a 6927380975
1|sofia-br | 2026-09-19 09:28:56: [MB v4.9] 09:28:54 I [upd] al día (v4.9 code=34, mío=34)
1|sofia-br | 2026-09-19 14:25:49: [wa-send] loop_guard: entregado por TELEGRAM (politica_v4_usuarios_sin_wa) a Noelia Bruscoli
1|sofia-br | 2026-09-19 14:40:20: [memoria-curada] Noelia Bruscoli × Soledad Goitia: nota actualizada (12 eventos nuevos, 2032 chars)
1|sofia-br | 2026-09-19 14:40:20: [memoria-curada] tick: 1/19 contactos curados

/root/secretaria/logs/sofia-bruscoli/error.log last 200 lines:
1|sofia-br | 2026-09-19 02:28:23: [TG] poll error (reintento en 15s): fetch failed
1|sofia-br | 2026-09-19 03:47:59: [TG] poll error (reintento en 15s): fetch failed
1|sofia-br | 2026-09-19 11:02:55: [TG] poll error (reintento en 15s): fetch failed
1|sofia-br | 2026-09-19 13:26:01: [TG] poll error (reintento en 15s): telegram getUpdates: {"ok":false,"error_code":409,"description":"Conflict: terminated by setWebhook request"}
1|sofia-br | 2026-09-19 13:36:04: [TG] poll error x41 en 10min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 13:46:07: [TG] poll error x81 en 20min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 13:56:10: [TG] poll error x121 en 30min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 14:06:12: [TG] poll error x161 en 40min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 14:16:15: [TG] poll error x201 en 50min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 14:25:48: [loop-guard] telegram_polling (plataforma) alertado tras 60 min / 238 fallos: telegram getUpdates: {"ok":false,"error_code":409,"description":"Conflict: can't use getUpdates method while webhook is 
1|sofia-br | 2026-09-19 14:26:18: [TG] poll error x241 en 60min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 14:36:21: [TG] poll error x281 en 70min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 14:46:25: [TG] poll error x321 en 80min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 14:56:28: [TG] poll error x361 en 90min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 15:06:31: [TG] poll error x401 en 100min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 15:16:34: [TG] poll error x441 en 111min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)
1|sofia-br | 2026-09-19 15:26:38: [TG] poll error x481 en 121min (misma causa: telegram getUpdates: {"ok":false,"error_code":409,"descripti)

